AMD Radeon 6900 XT  20353
NVIDIA GeForce RTX 3090  19949
NVIDIA GeForce RTX 3080 Ti  19615
AMD Radeon RX 6800 XT  19086
NVIDIA GeForce RTX 3080 12GB  18770
NVIDIA GeForce 3080 LHR  17686
NVIDIA Quadro RTX A6000  17661
NVIDIA GeForce RTX 3080  17650
AMD Radeon RX 6800  15817
NVIDIA Titan RTX  14905
NVIDIA GeForce RTX 3070 Ti  14832
NVIDIA GeForce RTX 2080 Ti  14695
NVIDIA Quadro RTX 6000  13943
NVIDIA GeForce RTX 3070  13679
NVIDIA GeForce 3070 LHR  13605
AMD Radeon RX 6700 XT  12604
NVIDIA GeForce RTX 3080 (notebook)  12033
AMD Radeon RX 6800M  11784
NVIDIA GeForce RTX 3060 Ti  11736
NVIDIA GeForce RTX 2080 SUPER  11609
NVIDIA GeForce 3060 Ti LHR  11578
NVIDIA GeForce RTX 3070 Ti (notebook)  11079
NVIDIA GeForce RTX 2080  11041
NVIDIA RTX A4000  11000
NVIDIA Quadro RTX 5000  10712
NVIDIA GeForce RTX 2080 SUPER (Notebook)  10669
NVIDIA GeForce RTX 3070 (notebook)  10547
NVIDIA Titan Xp  10222
NVIDIA Titan Xp Collector's Edition  10160
NVIDIA GeForce RTX 2070 SUPER  10147
NVIDIA GeForce RTX 2080 (Notebook)  10032
NVIDIA GeForce GTX 1080 Ti  9906
AMD Radeon RX 6600 XT  9712
NVIDIA Titan X (Pascal)  9671
AMD Radeon RX 5700 XT  9528
NVIDIA GeForce RTX 2070  9036
AMD Radeon VII  9033
NVIDIA GeForce RTX 3060 GA104  8910
NVIDIA GeForce RTX 3060  8784
NVIDIA GeForce RTX 2060 SUPER  8755
NVIDIA GeForce RTX 2080 SUPER Max-Q  8549
NVIDIA GeForce RTX 2070 SUPER (Notebook)  8458
AMD Radeon RX 5700  8444
NVIDIA GeForce RTX 3060 (notebook)  8319
AMD Radeon RX 6600M  8162
AMD Radeon RX 6600  8113
NVIDIA GeForce RTX 2060 12GB  8058
NVIDIA GeForce RTX 2080 Max-Q  8052
NVIDIA Quadro RTX 4000  7861
NVIDIA Quadro RTX 5000 Max-Q  7751
NVIDIA GeForce RTX 2070 (Notebook refresh)  7737
AMD Radeon RX 5600 XT  7621
NVIDIA GeForce RTX 2070 SUPER Max-Q  7597
NVIDIA GeForce GTX 1080  7553
NVIDIA GeForce RTX 2060  7543
NVIDIA GeForce RTX 2070 (Notebook)  7533
AMD Radeon RX Vega 64  7494
NVIDIA GeForce GTX 1080 (Notebook)  7115
NVIDIA GeForce RTX 2070 Max-Q  7021
AMD Radeon Vega Frontier Edition  6960
AMD Radeon RX Vega 56  6887
NVIDIA GeForce GTX 1070 Ti  6806
NVIDIA GeForce RTX 2070 Max-Q (refresh)  6773
NVIDIA GeForce GTX 1660 Ti  6348
NVIDIA GeForce RTX 2060 (Notebook refresh)  6278
NVIDIA GeForce RTX 3050  6236
NVIDIA GeForce GTX 1660 SUPER  6060
NVIDIA GeForce GTX 1070  6055
NVIDIA GeForce GTX 1080 Max-Q  6010
NVIDIA Quadro P5000  6001
AMD Radeon RX 5600M  5964
NVIDIA GeForce RTX 2060 (Notebook)  5956
NVIDIA GeForce GTX 980 Ti  5793
NVIDIA GeForce RTX 2060 Max-Q  5625
NVIDIA GeForce GTX 1660 Ti (Notebook)  5594
NVIDIA GeForce GTX 1070 (Notebook)  5554
NVIDIA GeForce GTX 1660  5427
NVIDIA GeForce RTX 3050 Ti (notebook)  5374
NVIDIA GTX TITAN X  5374
AMD Radeon R9 Fury X  5148
NVIDIA GeForce GTX 1660 Ti Max-Q  4976
AMD Radeon RX 6500 XT  4964
AMD Radeon RX 5500 XT  4894
NVIDIA Quadro P4000  4887
NVIDIA GeForce RTX 3050 (notebook)  4875
NVIDIA GeForce GTX 1070 Max-Q  4863
AMD Radeon R9 Fury  4757
AMD Radeon RX 590  4721
AMD Radeon RX 5500  4720
NVIDIA GeForce GTX 1650 SUPER  4696
AMD Radeon R9 Nano  4599
AMD Radeon RX 5500M  4462
NVIDIA GeForce GTX 980  4371
AMD Radeon RX 580  4317
AMD Radeon R9 390X  4254
NVIDIA GeForce GTX 1060-6GB  4177
AMD Radeon RX 480  4112
AMD Radeon R9 290X  3983
AMD Radeon R9 390  3945
NVIDIA GeForce GTX 1060-5GB  3901
AMD Radeon RX 580 2048SP  3866
AMD Radeon RX 570  3831
